latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
46.01411,125.59322,304.88,1.12,1.05,2025-04-22,0149,T,35,6.1NRT,290.35,4.97,D
46.00503,125.59005,309.37,1.12,1.05,2025-04-22,0149,T,68,6.1NRT,290.65,8.6,D
45.7853,126.83712,305.17,1.25,1.11,2025-04-22,0149,T,59,6.1NRT,288.47,7.84,D
45.97609,125.47816,303.37,1.11,1.05,2025-04-22,0149,T,56,6.1NRT,290.13,4.14,D
45.99533,125.3195,302.7,1.1,1.04,2025-04-22,0149,T,53,6.1NRT,289.88,3.71,D
45.7285,126.7444,304.8,1.24,1.11,2025-04-22,0149,T,38,6.1NRT,288.92,5.21,D
46.03211,124.81023,302.23,1.06,1.03,2025-04-22,0149,T,43,6.1NRT,288.54,2.89,D
46.02995,124.8234,304,1.06,1.03,2025-04-22,0149,T,56,6.1NRT,289.52,4,D
45.63587,126.73665,303.6,1.25,1.11,2025-04-22,0149,T,56,6.1NRT,288.1,7.2,D
45.63312,126.75185,303.87,1.25,1.11,2025-04-22,0149,T,57,6.1NRT,287.97,7.57,D
45.64552,126.62708,304.35,1.23,1.1,2025-04-22,0149,T,37,6.1NRT,289.45,4.96,D
45.77255,125.41809,302.72,1.11,1.05,2025-04-22,0149,T,53,6.1NRT,289.3,4.05,D
45.57342,126.56207,303.77,1.23,1.1,2025-04-22,0149,T,20,6.1NRT,287.16,5.49,D
45.57072,126.57712,306.53,1.23,1.1,2025-04-22,0149,T,59,6.1NRT,286.06,7.9,D
45.52206,126.51148,301.17,1.23,1.1,2025-04-22,0149,T,35,6.1NRT,287.51,4.49,D
45.76594,125.01047,305.08,1.08,1.04,2025-04-22,0149,T,61,6.1NRT,289.59,6.32,D
45.70327,125.27334,309.68,1.1,1.05,2025-04-22,0149,T,31,6.1NRT,288.76,7.34,D
45.52966,125.88912,318.46,1.16,1.07,2025-04-22,0149,T,59,6.1NRT,289.15,20.21,D
45.79491,124.13526,301.87,1.03,1.02,2025-04-22,0149,T,29,6.1NRT,289.88,4.2,D
45.67124,124.84634,301.17,1.07,1.03,2025-04-22,0149,T,40,6.1NRT,289.34,3.97,D
45.63142,124.97308,305.5,1.08,1.04,2025-04-22,0149,T,61,6.1NRT,288.7,7.32,D
45.85453,123.19756,304.89,1,1,2025-04-22,0149,T,55,6.1NRT,290.35,3.57,D
45.10862,126.14435,301.23,1.21,1.09,2025-04-22,0149,T,45,6.1NRT,288.05,5.09,D
45.26073,124.83925,300.06,1.08,1.04,2025-04-22,0149,T,25,6.1NRT,288.16,2.49,D
45.21128,124.85889,308.75,1.09,1.04,2025-04-22,0149,T,68,6.1NRT,290.74,7.61,D
45.47047,123.09653,302.81,1.01,1,2025-04-22,0149,T,38,6.1NRT,291.67,3.88,D
45.1436,124.76045,301.73,1.08,1.04,2025-04-22,0149,T,46,6.1NRT,289.6,3.43,D
44.85325,126.33305,303.91,1.24,1.11,2025-04-22,0149,T,57,6.1NRT,286.84,8.06,D
44.95701,124.35792,304.61,1.06,1.03,2025-04-22,0149,T,59,6.1NRT,289.89,6.25,D
44.51319,125.71898,301.03,1.19,1.08,2025-04-22,0149,T,14,6.1NRT,288.2,3.97,D
44.68465,124.25298,300.44,1.06,1.03,2025-04-22,0149,T,34,6.1NRT,289.54,3.02,D
